Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
260,0,0.0183105,0,-0.1297,4.41315,-2.41386,-179.402,31.9678,6755.75,604.015,-162.343,-0.178191,0
260,1,0.0198364,0.00152588,-0.0802612,4.98838,-2.19443,-180.877,-103.497,6716.53,623.255,-162.867,0.572194,0
260,2,0.0100708,0.00152588,-0.0341797,4.45497,-2.32371,-179.317,-186.41,6763.14,543.457,-162.284,1.03955,0
260,3,0.0231934,0.0012207,-0.00976562,4.83226,-2.58984,-180.611,-352.957,6748.84,506.062,-162.633,1.95424,0
260,4,0.0292969,0.00213623,0.043335,4.73603,-2.0986,-178.187,-355.279,6803.51,580.3,-161.818,1.99386,0
261,0,0.0244141,0.00213623,0.0872803,4.67466,-2.34328,-179.571,-477.079,6896.21,575.083,-161.596,2.65677,0
261,1,0.0210571,0.00335693,0.126343,4.36996,-2.3686,-180.184,-444.649,6812.25,547.653,-162.193,2.46775,0
261,2,0.0219727,0.00244141,0.162048,4.82852,-2.32069,-179.917,-531.597,6925.81,556.468,-161.506,2.95468,0
261,3,0.0180054,0.0012207,0.164795,4.4097,-2.14466,-178.621,-291.445,6888.36,658.976,-161.436,1.63164,0
261,4,0.0222778,0.00244141,0.163269,4.73796,-2.05411,-179.227,-253.971,7061.79,630.901,-160.599,1.41704,0
262,0,0.0161743,0.00152588,0.101318,4.50088,-2.14783,-180.013,-112.805,6851,594.743,-161.942,0.626645,0
262,1,0.0146484,0.000305176,0.0219727,4.74802,-2.43713,-181.22,-147.56,6868.35,640.892,-162.099,0.814263,0
262,2,0.0128174,0.00152588,-0.0631714,4.47799,-2.19223,-180.015,-58.3541,6807.63,529.943,-162.183,0.324162,0
262,3,0.0106812,0.00183105,-0.114441,4.65155,-2.30004,-178.705,80.9055,6886.75,654.715,-161.463,-0.452733,0
262,4,0.0100708,0.00213623,-0.152588,4.80303,-2.01258,-178.625,93.8147,6792.34,581.265,-161.974,-0.525205,0
263,0,0.0100708,-0.000305176,-0.170288,4.73973,-2.19223,-179.059,398.096,6741.88,581.72,-162.348,-2.22327,0
263,1,0.0149536,0.00244141,-0.147095,4.56939,-1.92974,-180.801,29.969,6778.65,600.383,-162.508,-0.165757,0
263,2,0.0195312,0.000915527,-0.115662,4.82679,-2.03633,-178.45,214.828,6711.15,646.624,-162.392,-1.20385,0
263,3,0.010376,0.000610352,-0.0500488,4.56785,-2.12689,-180.797,22.1032,6875.89,548.68,-161.969,-0.122254,0
263,4,0.0112915,-0.000610352,-0.0283813,5.02148,-2.40817,-177.658,54.8849,6772.28,617.587,-161.88,-0.308936,0
264,0,0.0234985,0,0.0112915,4.8273,-1.85782,-179.58,-289.701,6855.18,590.205,-161.827,1.61321,0
264,1,0.0271606,0.000305176,0.0564575,4.47716,-1.99172,-180.191,-328.471,6888.2,529.6,-161.773,1.82291,0
264,2,0.0262451,0.000305176,0.10376,4.89837,-2.32451,-180.005,-465.245,6692.49,617.734,-162.82,2.58463,0
264,3,0.0274658,0.00183105,0.135193,4.78354,-2.21023,-178.964,-449.543,6846.69,626.42,-161.743,2.51193,0
264,4,0.0244141,0.00152588,0.162659,4.57437,-1.84338,-182.016,-478.865,6700.8,614.218,-163.186,2.63089,0
265,0,0.012207,0.000305176,0.156555,4.23652,-2.08035,-179.058,-400.397,6834.31,677.742,-161.832,2.23613,0
265,1,0.0161743,0.00244141,0.150757,4.75477,-1.96319,-178.101,-227.199,7024.34,570.631,-160.56,1.27568,0
265,2,0.0140381,0.000305176,0.0799561,4.63375,-2.14855,-180.273,-79.37,6819.21,599.62,-162.173,0.440276,0
265,3,0.010376,0,-0.00274658,4.74173,-2.12448,-179.488,54.5603,6910.95,682.896,-161.496,-0.303978,0
265,4,0.00732422,-0.000305176,-0.0778198,4.54216,-1.68327,-179.588,106.882,6875.98,623.458,-161.713,-0.595149,0
266,0,0.00579834,0.000610352,-0.131531,5.16286,-2.14788,-181.047,31.6032,6948.69,664.541,-161.619,-0.174558,0
266,1,0.0152588,0.000305176,-0.160522,4.5214,-1.70711,-180.025,250.953,6833.05,591.407,-162.044,-1.39399,0
266,2,0.0146484,0.000915527,-0.166321,4.43229,-2.23419,-178.881,61.1427,6931.7,659.285,-161.25,-0.341806,0
266,3,0.0149536,0.00152588,-0.139771,4.65386,-1.92862,-179.499,41.6761,6613.86,577.487,-163.154,-0.23218,0
266,4,0.0186157,0.0012207,-0.0997925,4.65822,-2.0625,-180.536,-42.6108,6712.29,637.371,-162.82,0.236024,0
267,0,0.0088501,-0.000915527,-0.0326538,4.37478,-2.15098,-181.489,-102.588,6929.08,650.491,-161.821,0.565254,0
267,1,0.0195312,-0.000305176,-0.0268555,4.63508,-1.84007,-180.363,-0.622432,6855.1,702.2,-161.993,0.00345099,0
267,2,0.0231934,0.000610352,0.027771,4.52104,-1.90204,-179.405,-337.24,6956.14,682.441,-161.227,1.87977,0
267,3,0.020752,0.00183105,0.0650024,4.43716,-1.88359,-179.755,-347.92,6782.86,724.895,-162.266,1.93553,0
267,4,0.0271606,0.00152588,0.114441,4.85476,-1.57303,-181.32,-456.775,6945.58,655.446,-161.694,2.51917,0
268,0,0.0247192,0.00305176,0.142212,4.74671,-1.86213,-180.97,-724.487,6683.43,618.294,-163.069,4.00336,0
268,1,0.0204468,0.00244141,0.160522,4.72273,-2.28032,-180.093,-430.352,6770.86,636.143,-162.404,2.38961,0
268,2,0.0216675,0.00274658,0.158997,4.7891,-1.97139,-180.097,-529.136,6724.36,683.046,-162.663,2.93805,0
268,3,0.0161743,0.00183105,0.123291,4.69487,-1.48182,-179.761,-363.448,6932.56,613.632,-161.435,2.02184,0
268,4,0.0134277,0.000610352,0.0515747,4.34836,-2.08258,-180.016,-299.558,6768.97,608.752,-162.398,1.66407,0
269,0,0.0088501,0.00183105,-0.0393677,4.45824,-2.19279,-180.012,-59.4607,6852.59,641.147,-161.933,0.330315,0
269,1,0.00976562,0.000915527,-0.100403,4.41411,-1.57548,-180.111,99.475,6837.82,698.099,-162.036,-0.552297,0
269,2,0.00488281,0.000305176,-0.144043,4.80671,-1.79456,-179.324,180.237,6749.09,651.653,-162.364,-1.0051,0
