Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
221,0,0.0115967,0.00244141,0.0610352,6.0048,-0.567847,-181.163,-124.892,5950.69,814.226,-167.153,0.689392,0
221,1,0.010376,0.000915527,-0.0335693,5.25841,-0.526276,-180.565,-112.456,5839.26,823.756,-167.661,0.6228,0
221,2,0.0134277,0.00152588,-0.109253,5.473,-0.743574,-180.213,180.105,6015.48,721.102,-166.62,-0.999398,0
221,3,0.00976562,0.00152588,-0.157166,6.15961,-0.658395,-180.989,216.667,5819.54,828.964,-167.846,-1.19713,0
221,4,0.00335693,0.0012207,-0.179749,5.43435,-0.72581,-181.257,247.402,5903.28,749.706,-167.432,-1.36492,0
222,0,0.0128174,0.00213623,-0.174255,5.45937,-0.991428,-181.684,124.39,5946.63,800.1,-167.269,-0.68465,0
222,1,0.0198364,0.000915527,-0.144348,5.47441,-0.788607,-179.951,122.115,5935.18,776.849,-167.018,-0.678601,0
222,2,0.0180054,0.00244141,-0.0973511,6.02986,-0.836497,-181.596,-57.4378,5728.24,754.472,-168.456,0.316294,0
222,3,0.0149536,0.000915527,-0.0314331,5.74147,-1.23079,-180.72,-174.445,5897.91,752.851,-167.364,0.965279,0
222,4,0.0204468,0.0012207,-0.0128174,5.43668,-0.990486,-182.032,-131.041,5957.19,720.868,-167.274,0.719881,0
223,0,0.0259399,0.00244141,0.0466919,5.64929,-0.962689,-179.682,-274.795,5954.03,771.227,-166.863,1.52934,0
223,1,0.0283813,0.00183105,0.0952148,5.5196,-1.14067,-179.766,-404.912,5888.39,784.909,-167.244,2.25244,0
223,2,0.0238037,0.00183105,0.140381,5.45124,-0.963055,-179.598,-363.648,5909.11,734.084,-167.098,2.02478,0
223,3,0.0204468,0.00335693,0.171814,5.67315,-0.743055,-180.207,-555.007,5848.02,762.356,-167.548,3.07983,0
223,4,0.022583,0.00274658,0.1828,5.27476,-1.00622,-179.075,-343.892,5995.33,793.927,-166.521,1.92038,0
224,0,0.0152588,0.00213623,0.17395,5.56668,-0.966244,-180.551,-320.107,5878.85,831.932,-167.439,1.77295,0
224,1,0.0137329,0.00183105,0.112305,5.52103,-1.05453,-180.64,-211.469,5863.07,725.304,-167.543,1.17067,0
224,2,0.0170898,0.000915527,0.0314331,5.58831,-0.833982,-180.727,-114.198,5931.47,836.95,-167.18,0.631883,0
224,3,0.0134277,0.00183105,-0.0610352,5.80265,-0.785583,-179.944,-133.854,6027.98,785.456,-166.501,0.743864,0
224,4,0.00854492,0.000305176,-0.127563,6.02569,-0.987741,-180.724,47.6715,5868.68,739.781,-167.527,-0.263781,0
225,0,0.00640869,0.00152588,-0.166931,5.43404,-0.52689,-180.129,121.222,5769.1,866.039,-167.972,-0.67297,0
225,1,0.0137329,0.000610352,-0.183105,5.67973,-0.706735,-182.038,415.185,5805.39,778.385,-168.109,-2.28076,0
225,2,0.0140381,0.00152588,-0.168457,5.34753,-0.681223,-181.343,37.0875,5951.46,800.339,-167.181,-0.204516,0
225,3,0.0140381,0.00183105,-0.128784,5.6057,-0.921147,-179.165,350.081,5883.85,837.328,-167.16,-1.95396,0
225,4,0.0198364,0.00152588,-0.0662231,5.61182,-0.483272,-180.997,11.7961,5789.63,856.809,-168.013,-0.065173,0
226,0,0.0137329,0.000305176,-0.0265503,5.41223,-1.03286,-180.552,-55.604,5947.06,813.414,-167.062,0.307966,0
226,1,0.0241089,0.00213623,0.00854492,5.56363,-0.700345,-180.384,-141.425,5905.8,776.799,-167.26,0.784017,0
226,2,0.0265503,0.000915527,0.0671387,5.64957,-1.14011,-180.29,-225.632,5945.78,669.109,-167.021,1.2515,0
