Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
528,0,0.0149536,0.0012207,-0.187378,4.7523,-0.267809,-177.717,388.152,5156.46,905.481,-170.985,-2.1841,0
528,1,0.0146484,0.00152588,-0.159302,4.69167,-0.798952,-178.658,175.869,5265.67,959.847,-170.527,-0.984385,0
528,2,0.0241089,0.00183105,-0.115051,4.84712,-0.535626,-179.446,120.493,5172.23,928.217,-171.177,-0.671472,0
528,3,0.0238037,0.000610352,-0.0354004,4.79557,-0.419284,-177.796,69.6672,5340.74,922.7,-169.961,-0.391838,0
528,4,0.0131226,-0.000915527,-0.0213623,4.88517,-0.55257,-178.053,-36.0518,5284,922.601,-170.323,0.202478,0
529,0,0.0210571,0.000915527,0.0308228,4.9553,-0.467152,-178.923,-199.561,5149.59,937.087,-171.219,1.11535,0
529,1,0.0292969,0.000305176,0.0820923,5.02302,-0.490441,-179.356,-167.182,5129.56,946.559,-171.4,0.932125,0
529,2,0.0231934,0.000610352,0.1297,4.75425,-0.508431,-178.054,-446.239,5201.19,917.681,-170.789,2.50621,0
529,3,0.0231934,0.00152588,0.157776,4.60427,-0.466011,-179.183,-556.352,5279.99,945.389,-170.533,3.10493,0
529,4,0.0186157,0.0012207,0.179443,4.93465,-0.135596,-179.012,-287.178,5239.68,1062.46,-170.73,1.60424,0
530,0,0.0183105,0.00244141,0.168457,4.7132,-0.532734,-178.575,-514.112,5114.99,922.599,-171.357,2.87897,0
530,1,0.0112915,0.0012207,0.141907,5.08302,-0.485268,-177.615,-334.206,5204.49,978.136,-170.698,1.88163,0
530,2,0.0177002,0.00152588,0.057373,4.69432,-0.777393,-179.961,-190.366,5303.14,903.81,-170.532,1.05782,0
530,3,0.00671387,0.000915527,-0.038147,4.80207,-0.843634,-178.57,51.8109,5145.76,946.081,-171.184,-0.290142,0
530,4,0.00152588,0.000915527,-0.113525,4.75339,-0.486547,-177.533,-11.6435,5262.22,987.646,-170.359,0.0655851,0
531,0,-0.000915527,0.000610352,-0.164795,4.84275,-0.28993,-178.495,64.0977,5189.34,918.95,-170.927,-0.359101,0
531,1,0.00976562,0.00183105,-0.18158,4.95985,-0.823506,-180.306,141.744,5256.77,932.36,-170.845,-0.786128,0
531,2,0.0106812,0.0012207,-0.178833,4.76025,-0.448202,-179.535,46.0432,5122.99,942.343,-171.465,-0.256458,0
531,3,0.00854492,0.0012207,-0.145264,4.95341,-0.488153,-179.271,0.510594,5291.87,867.336,-170.481,-0.00284816,0
531,4,0.0186157,0.0012207,-0.0973511,5.04342,-0.621088,-178.83,16.0845,5278.2,1001.68,-170.485,-0.0899429,0
532,0,0.0170898,0,-0.0344849,5.01938,-0.55445,-178.748,-58.0796,5199.65,899.836,-170.911,0.324925,0
532,1,0.0219727,0.000305176,-0.0131226,5.0639,-0.576258,-178.919,-103.733,5242.3,918.189,-170.7,0.579777,0
532,2,0.0177002,0.00183105,0.043335,5.06306,-0.397568,-178.92,-475.043,5296.05,926.993,-170.4,2.65506,0
532,3,0.0250244,0.000305176,0.0939941,4.9128,-0.51158,-179.617,-357.205,5196.67,908.927,-171.068,1.98871,0
532,4,0.0280762,0.000610352,0.144043,5.03979,-0.464355,-178.053,-432.906,5118.48,908.811,-171.253,2.43134,0
533,0,0.0228882,0.00183105,0.171509,4.89297,-0.48971,-180.136,-590.552,5233.8,941.076,-170.945,3.27837,0
533,1,0.020752,0.00305176,0.181885,4.7327,-0.376338,-177.969,-363.242,5210.96,968.999,-170.72,2.04104,0
533,2,0.0222778,0.00183105,0.170593,5.1073,-0.552789,-178.83,-169.914,5329.02,950.287,-170.201,0.950142,0
533,3,0.0164795,0.000915527,0.108337,4.99872,-0.575062,-179.612,-159.883,5467.51,940.67,-169.559,0.89016,0
533,4,0.0140381,0.0012207,0.0259399,4.58464,-0.491361,-179.881,-211.928,5219.52,918.404,-170.984,1.17815,0
534,0,0.00915527,0.000915527,-0.0656128,4.56075,-0.204357,-179.716,78.57,5238.38,909.902,-170.852,-0.437191,0
534,1,0.00579834,0.000915527,-0.126648,4.84685,-0.447784,-179.971,236.028,5199.72,868.23,-171.108,-1.31148,0
534,2,0.00396729,0.000305176,-0.171509,4.77429,-0.619209,-177.62,195.049,5270.05,918.146,-170.33,-1.09813,0
534,3,0.0128174,0.000305176,-0.189514,5.12511,-0.729359,-177.703,513.739,5299.46,904.495,-170.178,-2.89101,0
534,4,0.015564,0.00305176,-0.170898,5.06688,-0.976468,-179.174,157.891,5179.57,927.528,-171.092,-0.881219,0
535,0,0.0167847,0.000915527,-0.130615,5.12683,-0.354966,-178.752,306.85,5292.84,877.185,-170.39,-1.71662,0
535,1,0.0308228,0.00183105,-0.0622559,4.88876,-0.753647,-178.918,111.229,5311.14,936.541,-170.315,-0.621678,0
