Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
444,0,0.0195312,-0.00152588,-0.0320435,5.64904,-1.58184,-180.719,-53.7579,5998.8,547.952,-166.806,0.297467,0
444,1,0.0167847,0.000610352,-0.020752,5.20516,-1.53611,-179.597,-284.894,5900.94,445.616,-167.144,1.58629,0
444,2,0.0219727,0.000610352,0.0289917,5.57983,-2.03967,-180.009,-318.571,6345.57,582.573,-164.749,1.76975,0
444,3,0.0354004,0.00152588,0.0723267,5.47021,-1.66657,-179.586,-325.139,6102.12,593.165,-166.021,1.8105,0
444,4,0.0262451,0.000610352,0.115051,5.00975,-1.40308,-180.03,-436.751,6104.8,570.242,-166.09,2.42599,0
445,0,0.0183105,0.00183105,0.145264,5.07466,-1.8865,-180.367,-545.485,6279.06,489.916,-165.187,3.02431,0
445,1,0.0204468,0.00427246,0.164185,5.22783,-1.46751,-180.374,-372.103,6229.02,514.226,-165.466,2.06295,0
445,2,0.022583,0.00335693,0.161438,5.13772,-1.44299,-180.026,-471.498,6356.46,518.215,-164.691,2.61905,0
445,3,0.0149536,0.00152588,0.113525,4.92479,-1.91213,-180.89,-391.149,6206.06,536.875,-165.691,2.16236,0
445,4,0.0149536,0,0.0405884,5.00572,-1.4433,-179.593,-338.356,6361.22,564.688,-164.58,1.88402,0
446,0,0.00701904,0.00152588,-0.0418091,5.29729,-2.35263,-180.182,-142.249,6206.27,564.292,-165.556,0.789472,0
446,1,0.0125122,0.00152588,-0.103455,4.85717,-1.71358,-180.461,-93.4237,6208.46,551.441,-165.597,0.517694,0
446,2,0.00732422,0.00305176,-0.143433,5.14287,-1.66998,-180.461,131.243,6161.03,565.971,-165.859,-0.727269,0
446,3,0.00915527,0,-0.164185,5.09803,-1.80343,-179.157,314.797,5974.59,612.794,-166.652,-1.7571,0
446,4,0.0137329,0.00183105,-0.151978,4.85022,-1.35728,-178.646,99.9524,6153.66,542.778,-165.554,-0.5595,0
447,0,0.0213623,0.00183105,-0.118103,5.11284,-1.66306,-178.198,53.0565,6345.25,620.372,-164.392,-0.297739,0
447,1,0.0192261,0.00213623,-0.0708008,4.65591,-1.57825,-179.508,0.568157,6375.16,611.289,-164.485,-0.00316509,0
447,2,0.0186157,-0.000610352,-0.0305176,5.33771,-1.11523,-179.771,-2.02481,6188.41,645.279,-165.576,0.0112632,0
447,3,0.027771,0,-0.00579834,5.07423,-1.53462,-179.331,-153.173,6171.54,625.765,-165.586,0.854134,0
