Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
235,0,0.0186157,0.0012207,-0.0973511,4.09329,-0.969852,-179.528,-53.3095,5814.72,776.467,-167.611,0.296944,0
235,1,0.0170898,0,-0.032959,4.5968,-1.54126,-179.164,-87.4956,5836.57,719.743,-167.423,0.488355,0
235,2,0.0283813,0.000305176,-0.0177002,4.66627,-1.19071,-179.865,-17.8241,5773.1,799.671,-167.903,0.0990975,0
235,3,0.0262451,0.000610352,0.0354004,4.66671,-1.01268,-180.212,-267.039,5889.19,841.003,-167.321,1.48181,0
235,4,0.0311279,0,0.0827026,4.3742,-0.742809,-179.002,-422.648,6042.17,798.571,-166.245,2.36113,0
236,0,0.0204468,-0.000305176,0.13031,4.77192,-1.00943,-179.343,-333.087,5910.32,784.96,-167.045,1.85727,0
236,1,0.0250244,0.00244141,0.160828,4.50992,-0.878066,-179.173,-695.452,5779.65,817.483,-167.743,3.88146,0
236,2,0.0219727,0.0012207,0.171814,4.37757,-1.23228,-178.561,-276.067,5783.4,826.684,-167.611,1.54607,0
236,3,0.0204468,0.00244141,0.167236,4.30768,-0.677379,-179.007,-319.241,5983.04,752.627,-166.576,1.7834,0
236,4,0.0180054,0.00152588,0.115967,4.92929,-0.989323,-180.296,-265.75,5922.73,822.412,-167.15,1.47396,0
237,0,0.0213623,0.00152588,0.0402832,4.62074,-0.570778,-180.571,-181.21,5919.05,776.827,-167.22,1.00354,0
237,1,0.0131226,0.00244141,-0.0512695,4.64048,-0.967286,-179.87,-196.888,5836.9,692.791,-167.549,1.09461,0
237,2,0.000610352,0.000610352,-0.117493,4.37748,-1.12345,-179.61,107.986,5846.99,720.73,-167.446,-0.601224,0
237,3,0.0158691,0.000915527,-0.162659,4.5804,-1.36812,-180.382,85.6646,5883.3,827.119,-167.384,-0.474907,0
237,4,0.00854492,-0.000305176,-0.174866,4.48758,-0.880394,-179.96,340.267,5976.02,781.425,-166.792,-1.89079,0
238,0,0.0195312,0.00244141,-0.160522,4.41871,-0.65788,-179.357,138.369,5925.49,744.369,-166.963,-0.771472,0
238,1,0.0250244,0.000610352,-0.128479,4.7748,-1.38939,-179.602,241.639,5758.89,757.997,-167.935,-1.34542,0
238,2,0.0219727,0.000915527,-0.0723267,4.48558,-0.790902,-178.397,9.75829,5752.73,832.525,-167.753,-0.0546998,0
238,3,0.0250244,0,-0.0280762,4.92617,-0.943416,-179.69,-63.3469,6001.75,817.733,-166.599,0.352535,0
238,4,0.0338745,0.00152588,0.00274658,4.39322,-0.45603,-178.404,-142.819,5934.64,757.919,-166.735,0.800538,0
239,0,0.0271606,0.0012207,0.0582886,4.46696,-0.791561,-180.394,-268.272,5907.17,753.134,-167.254,1.48714,0
239,1,0.0344849,0.00183105,0.105896,4.68917,-1.03568,-180.213,-434.474,5737.73,794.844,-168.161,2.41089,0
239,2,0.0244141,0.000305176,0.141296,4.47008,-0.419567,-180.315,-264.528,5677.08,851.952,-168.516,1.46703,0
239,3,0.0192261,0.00244141,0.172729,4.57176,-0.567168,-179.181,-414.53,5892.8,743.759,-167.113,2.31348,0
239,4,0.0213623,0.00213623,0.171814,4.69306,-1.21434,-180.99,-264.494,5817.86,859.69,-167.855,1.46138,0
240,0,0.022583,0.0012207,0.164795,4.40072,-1.18847,-179.604,-196.163,5916.86,794.167,-167.056,1.0922,0
