Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
205,0,0.0363159,0.00152588,-0.168152,5.77511,-1.56068,-150.982,86.2868,-472.254,861.007,-203.128,-0.571504,0
205,1,0.0369263,0.00183105,-0.209351,5.34992,-1.3791,-149.164,160.402,-288.357,860.285,-201.933,-1.07534,0
205,2,0.0375366,0.000610352,-0.214233,5.48408,-1.99793,-149.41,390.333,-188.619,891.882,-201.262,-2.61249,0
205,3,0.0469971,0.00213623,-0.185852,4.94829,-2.22917,-151.498,23.7405,-562.448,929.822,-203.713,-0.156705,0
205,4,0.0476074,0.00183105,-0.135193,5.47332,-2.07166,-151.493,141.673,-424.654,957.663,-202.803,-0.935177,0
206,0,0.0506592,0.0012207,-0.0646973,5.26844,-2.26468,-150.014,-66.3328,-276.482,881.916,-201.843,0.442178,0
206,1,0.0479126,0.00152588,0.0161743,5.64595,-2.0912,-150.971,-25.5093,-441.282,901.652,-202.923,0.168968,0
206,2,0.055542,0.0012207,0.0933838,5.66387,-1.9555,-150.19,-186.632,-398.406,878.086,-202.653,1.24264,0
206,3,0.0567627,0,0.155334,5.09376,-1.78025,-150.982,-346.294,-337.595,817.694,-202.236,2.29361,0
206,4,0.0546265,0.00183105,0.205078,5.53743,-1.73805,-151.846,-544.979,-478.821,855.327,-203.153,3.58902,0
207,0,0.0567627,0.00213623,0.215759,5.05581,-2.11543,-150.626,-372.767,-550.019,980.205,-203.652,2.47479,0
207,1,0.045166,0.00244141,0.197754,5.22229,-1.7557,-149.503,-356.761,-380.467,882.503,-202.545,2.38632,0
207,2,0.0488281,0.0012207,0.155334,5.64287,-2.10971,-150.708,-271.059,-299.561,863.568,-201.988,1.79858,0
207,3,0.050354,0.000305176,0.10376,5.59876,-2.30761,-149.659,-313.625,-317.373,965.098,-202.121,2.0956,0
207,4,0.0402832,0.00183105,0.0134277,5.61915,-2.17684,-149.407,-206.591,-566.344,850.273,-203.791,1.38274,0
208,0,0.0372314,0,-0.0622559,5.44211,-1.71241,-150.199,79.708,-300.204,850.658,-201.999,-0.530683,0
208,1,0.0390625,0.000305176,-0.134277,5.88392,-1.80168,-151.149,165.373,-299.804,841.639,-201.984,-1.09411,0
208,2,0.0360107,0.0012207,-0.186768,5.38531,-1.74082,-152.458,155.957,-348.063,888.537,-202.283,-1.02295,0
208,3,0.0418091,0.000610352,-0.210266,5.37796,-1.97976,-149.936,146.655,-475.653,846.252,-203.172,-0.978121,0
208,4,0.0460815,0.000305176,-0.20752,5.68683,-2.35466,-149.75,241.879,-436.475,915.276,-202.915,-1.61522,0
209,0,0.050354,0.00152588,-0.171814,5.37915,-1.67097,-150.2,158.779,-421.716,925.507,-202.808,-1.05712,0
209,1,0.0424194,0.00213623,-0.119019,5.59499,-1.44727,-149.855,57.4365,-395.181,869.867,-202.637,-0.38328,0
209,2,0.050354,-0.000305176,-0.0311279,5.49163,-1.84805,-150.28,-60.7267,-462.032,990.036,-203.074,0.404091,0
209,3,0.0564575,0.000610352,0.0384521,5.46826,-1.78262,-149.677,-135.107,-692.02,925.724,-204.623,0.902657,0
209,4,0.0494385,0.00152588,0.120544,5.9933,-1.46917,-150.891,-266.317,-383.631,874.226,-202.542,1.76496,0
210,0,0.06073,0.0012207,0.170898,6.23976,-2.26692,-150.787,-310.771,-599.372,906.166,-203.975,2.061,0
210,1,0.057373,0.000915527,0.20813,5.57449,-1.86589,-149.758,-527.832,-465.746,849.989,-203.11,3.52456,0
210,2,0.0613403,0.00152588,0.21637,5.75098,-1.91071,-149.321,-629.893,-633.27,878.113,-204.241,4.21837,0
210,3,0.0543213,0.0012207,0.188904,5.61801,-1.15937,-150.379,-465.146,-403.432,874.31,-202.683,3.09315,0
210,4,0.0564575,0.000915527,0.13916,5.5946,-1.71035,-150.284,-431.579,-359.175,766.601,-202.39,2.87176,0
211,0,0.0567627,0.0012207,0.0692749,5.07674,-1.51887,-151.245,-258.839,-442.662,981.071,-202.927,1.71138,0
211,1,0.0439453,0.0012207,-0.0149536,5.77593,-1.4052,-151.329,-230.508,-418.199,888.498,-202.764,1.52322,0
211,2,0.0421143,0.000305176,-0.0946045,5.8865,-1.91375,-150.798,-6.83187,-468.964,911.32,-203.11,0.0453048,0
211,3,0.0393677,0.000915527,-0.15686,5.86238,-1.98024,-150.019,124.673,-610.942,860.689,-204.072,-0.83105,0
211,4,0.0369263,0.000915527,-0.202942,5.46906,-2.13518,-151.321,84.523,-353.711,822.619,-202.338,-0.558568,0
212,0,0.043335,0.000915527,-0.214539,5.50196,-1.42173,-147.857,102.49,-376.398,939.04,-202.546,-0.693172,0
212,1,0.0436401,0.00152588,-0.197144,5.44277,-1.42696,-149.771,-8.69622,-512.959,888.735,-203.425,0.0580634,0
212,2,0.0500488,0.000305176,-0.155334,5.88452,-1.84562,-150.45,73.6354,-345.26,938.875,-202.295,-0.489434,0
