Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
429,0,0.043335,0.000915527,-0.137024,3.49229,0.5471,-157.245,210.55,-1914.88,504.125,-212.178,-1.339,0
429,1,0.0570679,0.000610352,-0.0708008,3.26392,0.352574,-154.728,36.7095,-2077.25,378.23,-213.425,-0.237253,0
429,2,0.0494385,0.000915527,0.0128174,3.647,0.0824914,-157.237,58.5419,-2090.35,415.639,-213.294,-0.372317,0
429,3,0.0558472,0.00274658,0.0894165,3.40377,0.327647,-156.632,-210.51,-1991.91,489.341,-212.717,1.34398,0
429,4,0.0585938,0.000610352,0.151062,3.62292,-0.201412,-156.534,-231.791,-2010.91,414.313,-212.846,1.48077,0
430,0,0.0570679,0.00213623,0.199585,3.57673,0.197151,-156.195,-382.002,-2052.9,400.844,-213.143,2.44568,0
430,1,0.0527954,0.00152588,0.213623,3.59256,0.179392,-154.543,-271.447,-1958.47,414.194,-212.673,1.75645,0
430,2,0.0497437,0.00366211,0.198059,3.77005,0.684891,-155.074,-305.779,-2141.41,420.35,-213.809,1.97183,0
430,3,0.0540161,0.00305176,0.157166,2.91456,0.197116,-155.248,-248.301,-2053.19,354.35,-213.225,1.59938,0
430,4,0.0558472,0.00183105,0.106506,3.38315,0.149912,-157.412,-228.433,-1990.19,410.325,-212.643,1.45118,0
431,0,0.0518799,0.00213623,0.0192261,3.57667,0.108165,-156.107,-40.6875,-2009.11,419.614,-212.87,0.260638,0
431,1,0.0448608,0.000610352,-0.0570679,3.50612,0.000439602,-154.89,66.4479,-1972.62,391.35,-212.736,-0.429,0
431,2,0.0408936,0.000305176,-0.129089,3.61781,0.461682,-155.072,296.729,-2073.9,476.351,-213.374,-1.91348,0
431,3,0.0360107,0.0012207,-0.1828,3.05276,0.014524,-156.202,255.892,-2191.31,420.521,-214.029,-1.63822,0
