Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
316,0,0.06073,0.00183105,-0.147095,8.3107,-3.21673,-150.31,-61.2357,-901.272,1119.72,-205.996,0.407396,0
316,1,0.0567627,0.00183105,-0.0549316,8.22124,-3.10637,-149.185,-34.5749,-1040.74,1161.91,-206.976,0.231759,0
316,2,0.0479126,0.000305176,0.0363159,8.08918,-2.97375,-149.884,-62.1076,-945.309,1101.56,-206.307,0.414371,0
316,3,0.0604248,0.000915527,0.122681,8.26623,-2.93049,-149.97,-171.53,-1067.64,1111.21,-207.119,1.14376,0
316,4,0.0592041,0.000915527,0.189819,8.30795,-3.19116,-149.786,-383.181,-804.153,1118.8,-205.369,2.55818,0
317,0,0.0595093,0.00152588,0.239258,7.82586,-3.1493,-149.794,-514.987,-925.623,1086.56,-206.179,3.43797,0
317,1,0.0579834,0.000610352,0.250549,7.6452,-3.2781,-148.75,-520.238,-786.79,1053.12,-205.289,3.4974,0
317,2,0.0546265,0.000610352,0.224915,8.3318,-3.2818,-150.309,-419.631,-955.123,1049.66,-206.354,2.79179,0
317,3,0.0540161,0.000915527,0.17334,7.93534,-2.9725,-150.144,-429.492,-885.102,1072.99,-205.895,2.86053,0
317,4,0.055542,0.00183105,0.109558,8.00451,-2.99709,-150.839,-341.557,-940.33,1092.01,-206.234,2.26439,0
318,0,0.0534058,0.000915527,0.00427246,8.43925,-2.88369,-149.621,-136.113,-960.064,1110.9,-206.417,0.90972,0
318,1,0.0524902,0.00183105,-0.085144,7.93197,-3.01587,-148.668,-152.903,-975.883,1096.52,-206.564,1.02848,0
318,2,0.0469971,0.000305176,-0.169983,8.32572,-3.0146,-149.188,70.7158,-885.277,1022.47,-205.934,-0.474005,0
318,3,0.0482178,0,-0.223389,8.262,-3.19098,-149.18,73.1415,-741.359,1146.97,-204.97,-0.490291,0
318,4,0.0466919,0,-0.245056,8.09158,-2.97581,-150.319,-6.61645,-1006.9,1115.88,-206.698,0.0440161,0
319,0,0.0537109,0.000305176,-0.235291,8.36977,-2.92567,-148.926,118.209,-825.425,1105.94,-205.543,-0.793744,0
319,1,0.0549316,0.00213623,-0.188904,8.37028,-3.14728,-149.185,-1.55109,-922.781,1017.65,-206.185,0.0103971,0
319,2,0.0518799,0.000305176,-0.128174,8.32609,-3.01464,-148.926,3.60308,-921.109,1059.56,-206.185,-0.0241937,0
319,3,0.0531006,0.000915527,-0.0231934,7.93965,-3.30679,-150.746,-109.995,-867.642,1133.36,-205.756,0.729674,0
319,4,0.0491333,0.000305176,0.0601196,8.10736,-2.92578,-149.274,-138.189,-778.405,1105.44,-205.215,0.92574,0
320,0,0.0604248,0.00183105,0.147095,8.26552,-3.06072,-149.79,-211.058,-882.062,1165.94,-205.889,1.40902,0
320,1,0.0656128,0.00152588,0.204163,8.33082,-2.92755,-149.705,-472.438,-955.35,1142.79,-206.382,3.15579,0
320,2,0.0561523,0.000305176,0.24353,8.46082,-3.14772,-149.181,-414.117,-1032.75,1087.02,-206.923,2.77594,0
320,3,0.0616455,0.000305176,0.25116,8.2631,-3.03679,-148.661,-666.247,-1060.39,1147.09,-207.133,4.48165,0
320,4,0.0546265,0.000610352,0.211792,8.50664,-3.12684,-150.311,-379.468,-979.848,1036.14,-206.519,2.52455,0
321,0,0.057373,0.0012207,0.153503,8.06957,-2.99611,-150.751,-374.863,-907.688,1087.2,-206.021,2.48664,0
321,1,0.0546265,0.0012207,0.0619507,8.06245,-2.99166,-148.405,-363.502,-937.215,1105.34,-206.315,2.44939,0
321,2,0.0512695,0,-0.0320435,8.15616,-3.30412,-150.223,-331.842,-903.741,1072.74,-206.016,2.209,0
321,3,0.0515747,0.000915527,-0.116577,7.86751,-2.77422,-149.195,-187.496,-989.738,1106.29,-206.634,1.25672,0
321,4,0.043335,0,-0.185242,8.21996,-3.06129,-149.36,-10.107,-969.425,1120.04,-206.491,0.0676691,0
322,0,0.0469971,0.000915527,-0.23407,8.1765,-3.06245,-150.058,201.875,-922.395,1060.03,-206.147,-1.34532,0
322,1,0.0491333,0.000610352,-0.247192,7.95976,-2.88758,-150.321,52.4117,-957,1139.12,-206.366,-0.348664,0
