Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
200,0,0.0265503,0.00152588,0.21637,0.391987,-4.13676,-144.45,-396.812,-2571.7,-836.846,-217.803,2.74705,0
200,1,0.0234985,0.00244141,0.193481,0.821143,-4.01279,-148.101,-335.353,-2752.69,-881.433,-218.587,2.26435,0
200,2,0.0170898,0.0012207,0.102234,0.374609,-3.91982,-146.107,-198.52,-2559.55,-840.509,-217.518,1.35873,0
200,3,0.0219727,0.000915527,-0.000610352,0.74777,-4.14126,-145.233,-184.911,-2824.84,-844.7,-219.45,1.27321,0
200,4,0.0158691,0.000610352,-0.107117,0.576432,-3.98969,-147.062,-89.711,-2708.61,-858.245,-218.418,0.610022,0
201,0,0.0164795,0.000915527,-0.177002,0.775755,-3.85917,-146.977,26.9734,-2867.58,-810.901,-219.51,-0.183521,0
201,1,0.0177002,0.00152588,-0.223694,0.550412,-3.43523,-146.028,133.024,-2601.85,-760.218,-217.817,-0.910945,0
201,2,0.0180054,0.00152588,-0.23407,0.927755,-3.87892,-146.537,348.194,-2644.49,-718.503,-218.047,-2.37615,0
201,3,0.020752,0.000610352,-0.203552,1.10088,-3.78725,-146.013,84.7194,-2581.22,-705.165,-217.678,-0.580217,0
201,4,0.0311279,0.000305176,-0.151062,0.838456,-4.00926,-145.751,75.1399,-2624.24,-686.902,-218.005,-0.515537,0
202,0,0.0231934,0.00152588,-0.0579834,0.570828,-3.34531,-144.985,2.54598,-2639.44,-681.499,-218.205,-0.0175603,0
202,1,0.0308228,0,-0.0112915,0.775423,-3.70149,-146.45,-68.6072,-2611.22,-621.571,-217.83,0.468468,0
202,2,0.0311279,0.00152588,0.0485229,0.625959,-3.66041,-147.495,-311.815,-2718.51,-639.837,-218.431,2.11407,0
202,3,0.0317383,0.0012207,0.115356,0.3099,-2.77397,-145.781,-263.269,-2768.03,-675.773,-218.988,1.80592,0
202,4,0.0372314,0.000610352,0.173035,-0.27457,-3.13082,-147.163,-458.529,-2574.18,-519.279,-217.492,3.1158,0
203,0,0.032959,0.00152588,0.204163,-0.30394,-2.64316,-145.267,-392.446,-2822.68,-601.52,-219.431,2.70156,0
203,1,0.0292969,-0.000305176,0.220642,-0.106018,-2.9725,-146.299,-294.636,-2537.7,-649.022,-217.346,2.01393,0
203,2,0.0234985,0.000305176,0.201111,0.0268928,-2.6199,-145.694,-336.606,-2658.78,-509.03,-218.249,2.31036,0
