Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
335,0,0.0296021,0.00152588,-0.187073,5.2262,-2.61032,-185.315,115.887,5879.17,371.721,-168.275,-0.625352,0
335,1,0.0296021,0.000305176,-0.228577,5.36075,-2.65785,-185.228,114.219,5580.92,377.327,-169.87,-0.61664,0
335,2,0.0314331,0.00183105,-0.230103,4.95879,-2.58809,-184.193,273.398,5755.91,302.532,-168.751,-1.4843,0
335,3,0.0317383,0.000915527,-0.198364,5.28601,-2.38699,-183.932,70.6461,5733.57,284.029,-168.828,-0.384088,0
335,4,0.03479,0.000610352,-0.138855,5.24689,-2.14705,-184.716,112.897,5727.66,405.311,-168.992,-0.611194,0
336,0,0.0360107,0.000305176,-0.0405884,5.29422,-2.21488,-185.669,31.9556,5744.63,414.531,-169.06,-0.17211,0
336,1,0.0415039,0.000305176,-0.00610352,5.88834,-2.34667,-185.834,-73.4723,5675.58,428.436,-169.459,0.395366,0
336,2,0.0415039,0.000305176,0.0601196,5.44255,-1.85816,-184.981,-141.494,5720.67,331.235,-169.074,0.764909,0
336,3,0.0485229,0.000610352,0.125427,4.98592,-1.77287,-185.68,-350.518,5705.41,400.817,-169.273,1.88775,0
336,4,0.0494385,0.0012207,0.177307,4.96319,-2.36871,-185.497,-374.434,5669.72,293.21,-169.435,2.01854,0
337,0,0.0405884,0.000305176,0.20813,5.0497,-2.23282,-184.885,-681.574,5798.48,399.097,-168.637,3.68648,0
337,1,0.038147,0.00213623,0.215149,4.98697,-1.81763,-185.069,-319.776,5642.25,498.321,-169.513,1.72787,0
337,2,0.0408936,0.00213623,0.194092,5.09839,-2.54621,-184.88,-461.335,5600.66,478.531,-169.706,2.49533,0
337,3,0.0335693,0.00183105,0.150146,4.89389,-1.5498,-184.817,-252.088,5761.59,396.264,-168.825,1.36399,0
337,4,0.0384521,0.000610352,0.0445557,5.49213,-2.34764,-185.058,-218.136,5513.92,405.354,-170.204,1.17875,0
338,0,0.0375366,0.0012207,-0.0646973,4.9197,-1.86166,-186.115,-75.502,5797.12,349.826,-168.852,0.405673,0
338,1,0.0256348,0.000915527,-0.154724,5.57718,-2.34688,-184.8,-39.0452,5492.31,322.128,-170.28,0.211284,0
338,2,0.0259399,0.000915527,-0.210876,5.11297,-1.90359,-184.202,100.884,5688.71,396.392,-169.117,-0.547683,0
338,3,0.0265503,0.0012207,-0.237732,5.09468,-2.21472,-185.152,43.4412,5690.26,372.833,-169.267,-0.234624,0
338,4,0.0335693,0.00152588,-0.221558,4.50565,-1.79932,-186.034,37.6362,5663.56,424.742,-169.556,-0.202308,0
339,0,0.038147,0.0012207,-0.18219,4.7838,-2.16861,-184.113,11.7066,5737.34,381.695,-168.838,-0.0635842,0
339,1,0.038147,0.00152588,-0.118408,4.98453,-1.94837,-184.806,-80.1792,5792.28,479.334,-168.658,0.433856,0
339,2,0.0317383,0.000305176,-0.0393677,5.13507,-1.72596,-184.725,-114.432,5768.74,386.901,-168.771,0.619472,0
339,3,0.038147,0.000610352,0.00427246,5.03245,-2.34754,-186.101,-263.415,5800.38,413.75,-168.832,1.41544,0
339,4,0.0485229,0.00244141,0.0759888,4.89712,-2.43323,-185.145,-400.47,5831.25,389.861,-168.504,2.16301,0
340,0,0.0506592,0.000915527,0.140686,5.82051,-2.32223,-184.877,-518.053,5615.35,450.98,-169.627,2.80215,0
340,1,0.0473022,0.000610352,0.187378,5.53023,-2.47455,-184.358,-401.056,5724.03,329.739,-168.952,2.17542,0
340,2,0.0366211,0.00183105,0.212708,5.05762,-2.15014,-186.537,-656.467,5685.26,465.009,-169.522,3.51923,0
340,3,0.0402832,0.00213623,0.210571,5.1352,-1.85749,-184.546,-331.658,5777.22,400.217,-168.695,1.79715,0
340,4,0.0421143,0.00213623,0.187378,5.02899,-1.94946,-185.244,-446.353,5578.76,349.702,-169.884,2.40954,0
341,0,0.0390625,0.00152588,0.106201,5.33785,-2.05923,-186.367,-295.008,5779.81,340.072,-168.987,1.58294,0
341,1,0.0360107,0.0012207,0.00396729,5.18628,-1.79711,-185.852,-229.276,5590.76,452.472,-169.918,1.23365,0
341,2,0.0289917,0.000305176,-0.101624,4.72423,-2.08297,-185.935,-52.5776,5884.19,460.516,-168.354,0.282774,0
341,3,0.0296021,0.0012207,-0.175781,5.18105,-2.16736,-185.321,-33.0179,5943.97,404.432,-167.926,0.178166,0
341,4,0.0283813,0.000915527,-0.223999,5.20005,-1.94668,-183.242,109.515,5665.82,489.013,-169.08,-0.597653,0
342,0,0.0308228,0.000915527,-0.242615,5.08867,-2.03449,-183.417,295.588,5768,423.864,-168.553,-1.61156,0
342,1,0.0299072,0.00152588,-0.212402,4.70481,-1.86637,-185.596,67.7328,5556.92,508.505,-170.059,-0.364949,0
342,2,0.0445557,0.000610352,-0.163574,5.09499,-1.92833,-184.722,88.1626,5619.16,457.021,-169.58,-0.477272,0
342,3,0.0415039,0.00183105,-0.0814819,4.65647,-1.84212,-184.208,13.4792,5468.54,480.601,-170.313,-0.0731741,0
342,4,0.0384521,0.000305176,-0.0213623,5.09518,-2.10359,-184.803,2.48749,5751.87,484.014,-168.876,-0.0134603,0
343,0,0.0424194,0.000915527,0.0335693,4.5923,-1.59745,-185.945,-288.602,5810.97,479.714,-168.749,1.55208,0
343,1,0.0454712,0.000915527,0.102844,5.13942,-1.83947,-185.94,-219.044,5681.52,345.391,-169.444,1.17803,0
343,2,0.0460815,0.000610352,0.158691,5.27526,-1.7521,-186.022,-484.002,5631.76,503.104,-169.725,2.60185,0
343,3,0.0424194,0.00152588,0.194092,4.90124,-1.73018,-185.33,-439.261,5646.34,558.635,-169.534,2.37016,0
