Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
645,0,0.0299072,0.00244141,0.19928,5.24948,2.20802,-185.194,-214.173,7950.96,1067.44,-157.067,1.15648,0
645,1,0.0219727,0.000610352,0.158386,5.16039,2.05504,-183.885,-166.045,7996.69,1192.09,-156.513,0.902981,0
645,2,0.020752,0.000305176,0.0515747,5.38393,2.05194,-184.666,-110.362,7855.47,1202.15,-157.461,0.597632,0
645,3,0.0189209,0.0012207,-0.057373,5.37915,2.45075,-183.983,140.784,7837.68,1147.37,-157.4,-0.765201,0
645,4,0.020752,0.00213623,-0.146179,5.59667,1.94684,-183.533,186.264,8083.97,1168.92,-155.953,-1.01488,0
646,0,0.0109863,0.00183105,-0.209351,5.24748,1.96546,-184.322,209.888,7975.69,1085.98,-156.73,-1.1387,0
646,1,0.0238037,0.0012207,-0.227661,5.77165,2.05633,-183.45,336.296,7952.68,1123.37,-156.649,-1.83318,0
646,2,0.0256348,0.00152588,-0.21637,5.12214,1.91694,-185.103,229.028,7893.11,1197.76,-157.358,-1.23731,0
646,3,0.0231934,0.000915527,-0.176392,5.77223,1.81475,-183.79,103.456,8059.17,1108.43,-156.15,-0.562902,0
646,4,0.0183105,0.00183105,-0.117798,5.44761,1.63359,-184.486,129.082,7931.52,1113.4,-157.008,-0.699685,0
647,0,0.0302124,0.000610352,-0.0286865,5.82027,1.8784,-185.355,83.994,8077.21,1080.96,-156.423,-0.453152,0
647,1,0.0289917,0,0.00946045,5.4466,2.40691,-184.674,49.6137,7950.97,1160.85,-156.946,-0.268656,0
