Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
125,0,0.0323486,0,0.104675,-0.799132,2.88586,-183.924,-89.8124,9477.07,2148.17,-148.473,0.488312,0
125,1,0.0363159,0.0012207,0.163879,-0.989485,2.3963,-184.434,-311.925,9387.28,2263.49,-149.102,1.69125,0
125,2,0.0311279,0.000915527,0.203857,-1.25714,2.66146,-183.317,-155.6,9264.45,2217.88,-149.462,0.848806,0
125,3,0.0283813,0.00183105,0.223389,-1.4532,2.28689,-183.655,-294.405,9449.66,2248.97,-148.547,1.60304,0
125,4,0.0250244,0,0.212708,-1.41687,2.5116,-182.794,-138.946,9518.37,2114.55,-147.928,0.760124,0
126,0,0.0280762,0.000610352,0.186157,-1.18762,2.46197,-185.483,-41.3594,9556.58,2166.18,-148.477,0.222983,0
126,1,0.0231934,0.000610352,0.0958252,-1.51323,2.45728,-184.966,91.1482,9303.36,2273.84,-149.702,-0.492785,0
126,2,0.0326538,0.00152588,-0.00915527,-1.50407,2.75246,-182.801,115.887,9451.38,2143.38,-148.297,-0.633953,0
126,3,0.0302124,0.000915527,-0.111389,-1.87425,2.72801,-183.673,136.628,9521.1,2157.21,-148.163,-0.743867,0
126,4,0.0213623,0.00152588,-0.184326,-1.98261,2.26407,-184.707,251.215,9712.29,2081.98,-147.418,-1.36007,0
127,0,0.020752,0.000915527,-0.222473,-1.74125,2.72648,-184.02,348.305,9480.46,2153.13,-148.482,-1.89275,0
127,1,0.0204468,0.0012207,-0.232849,-2.13452,2.32547,-184.282,499.175,9354.71,2069.67,-149.237,-2.70876,0
127,2,0.0253296,0.00152588,-0.196228,-1.80778,1.84451,-183.919,201.117,9517.16,2026.09,-148.253,-1.09351,0
127,3,0.0308228,0.00183105,-0.143127,-2.04814,2.3277,-184.367,265.721,9431.17,2031.95,-148.846,-1.44127,0
