Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
451,0,0.0360107,0.00152588,-0.00671387,4.08639,-0.670672,-187.375,13.7813,3185.11,1094.34,-183.001,-0.0735495,0
451,1,0.0402832,0.000610352,0.0582886,3.77857,-0.537364,-187.727,-259.122,3278.64,1066.01,-182.535,1.38032,0
451,2,0.0372314,0.000915527,0.12146,3.83896,-0.689101,-185.553,-253.945,3131.08,1061.16,-183.126,1.36859,0
451,3,0.0415039,0.000610352,0.179443,3.84524,-0.448858,-186.681,-390.257,3176.98,1219.2,-182.982,2.0905,0
451,4,0.0305176,0.000610352,0.206604,3.18376,-0.184358,-186.523,-545.554,3125.34,1103.43,-183.244,2.92487,0
452,0,0.0323486,0.00183105,0.219421,3.77391,-0.0943442,-186.086,-307.177,3073.61,1076.24,-183.483,1.65072,0
452,1,0.0302124,0.00213623,0.197449,3.46759,-0.382016,-185.735,-308.755,3103.02,1126.61,-183.293,1.66235,0
452,2,0.0335693,0.00152588,0.163269,3.35791,0.0372351,-186.438,-180.218,3233.3,1141.07,-182.658,0.966634,0
452,3,0.0317383,0.00183105,0.057373,3.31269,-0.292435,-186.258,-160.415,3340.69,1107.69,-182.064,0.86125,0
452,4,0.0311279,-0.000305176,-0.0512695,3.51082,-0.139242,-186.436,-19.9691,3226.57,1090.04,-182.693,0.10711,0
453,0,0.0283813,0.0012207,-0.139465,3.65802,-0.35663,-184.608,194.471,3182.02,1034.1,-182.763,-1.05342,0
453,1,0.0250244,0,-0.204163,3.53616,-0.362421,-187.04,48.5721,3181.56,1099.38,-182.99,-0.259689,0
453,2,0.0274658,0.000305176,-0.229797,3.51173,-0.624626,-185.989,192.754,3339.96,1172.64,-182.042,-1.03637,0
453,3,0.0216675,0.00213623,-0.220642,3.46951,0.144881,-187.66,81.3122,3186.19,1049.29,-183.022,-0.433294,0
453,4,0.0271606,0.000305176,-0.181885,3.40062,-0.449166,-185.912,101.005,3141.21,1062.07,-183.104,-0.543296,0
454,0,0.0335693,0.0012207,-0.121155,3.51254,-0.250525,-186.519,-2.73614,3217.47,1131.71,-182.75,0.0146695,0
454,1,0.0350952,0,-0.0317383,3.40382,-0.405761,-186.169,-76.4327,3159.19,1173.23,-183.031,0.410556,0
454,2,0.032959,0,0.00274658,3.61895,-0.645183,-184.946,-119.224,3148.18,1130.81,-182.978,0.64464,0
454,3,0.0299072,-0.0012207,0.0762939,3.51372,-0.62587,-186.686,-296.357,3164.03,1079.86,-183.052,1.58747,0
454,4,0.0396729,0.00244141,0.135803,3.60056,-0.425307,-186.599,-377.515,3266.99,1126.08,-182.492,2.02313,0
455,0,0.0360107,0.0012207,0.188293,3.90771,-0.204488,-186.688,-278.98,3219.2,1131.44,-182.756,1.49436,0
455,1,0.0360107,0.00305176,0.216675,3.37675,-0.446118,-184.866,-567.145,3052.54,1084.32,-183.488,3.06788,0
455,2,0.03479,-0.000305176,0.214844,3.27124,-0.514094,-186.339,-259.328,3333.24,1162.92,-182.112,1.3917,0
455,3,0.0308228,0.00244141,0.194397,3.31989,-0.892668,-187.376,-386.006,3208.01,1111.78,-182.879,2.06007,0
455,4,0.0323486,0.00183105,0.122681,3.36092,-0.318205,-186.693,-195.023,3135.39,1140.9,-183.206,1.04462,0
456,0,0.0247192,0.00152588,0.020752,3.22457,-0.315512,-185.826,-138.886,3210.82,1094.11,-182.721,0.747399,0
456,1,0.0244141,0.00213623,-0.0848389,3.22784,-0.449421,-187.3,-44.2965,3363.07,1070.65,-182.044,0.2365,0
456,2,0.0231934,0.000305176,-0.165405,3.35745,-0.383556,-186.696,215.246,3232.8,1029.72,-182.684,-1.15292,0
456,3,0.0253296,0.0012207,-0.213928,3.20331,-0.758234,-185.994,243.687,3272.94,1065.98,-182.403,-1.31019,0
456,4,0.0256348,0.000305176,-0.233459,3.51461,-0.275659,-187.043,386.094,3164.66,1123.29,-183.081,-2.0642,0
457,0,0.0283813,0.00152588,-0.206604,3.66684,-0.406322,-186.517,191.603,3130.9,1108.88,-183.214,-1.02727,0
457,1,0.0265503,0.000610352,-0.160522,3.56486,-0.763846,-188.247,175.917,3181.1,1159.56,-183.101,-0.934501,0
457,2,0.0299072,0.000915527,-0.0866699,3.44443,-0.403761,-186.083,35.7405,3254.91,1089.53,-182.508,-0.192067,0
457,3,0.0363159,0.000915527,-0.0198364,3.70762,-0.380554,-185.993,25.4797,3279.27,1117.31,-182.369,-0.136993,0
457,4,0.0360107,0.00213623,0.0308228,3.92816,-0.712416,-185.726,-265.886,3038.95,1056.84,-183.637,1.43161,0
458,0,0.0372314,0.00183105,0.100403,3.74924,-0.709617,-184.944,-310.663,3169.41,1074.68,-182.863,1.67977,0
458,1,0.0387573,0.00152588,0.162354,3.44984,-0.582448,-187.642,-350.341,3256.75,1070.46,-182.644,1.86707,0
458,2,0.03479,0.000610352,0.199585,3.54882,-0.50981,-184.951,-346.251,3213.73,991.229,-182.624,1.87212,0
458,3,0.0314331,0.00152588,0.220032,3.56544,-0.806485,-188.417,-371.501,3181.58,1149.42,-183.114,1.9717,0
458,4,0.0213623,0.00244141,0.209656,3.71097,-0.801938,-186.507,-169.995,3181.73,1084.34,-182.94,0.91147,0
459,0,0.0372314,0.00152588,0.188293,3.43238,-0.806705,-188.072,-204.336,3168.85,1131.06,-183.151,1.08648,0
