Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
195,0,0.0250244,0.0012207,-0.160522,4.71989,0.503817,-184.317,192.161,-795.241,840.621,-204.315,-1.04256,0
195,1,0.0140381,0.00183105,-0.214539,4.74028,0.594008,-183.969,173.274,-698.965,877.438,-203.799,-0.941866,0
195,2,0.0234985,0,-0.234375,4.85779,0.14826,-185.608,354.377,-640.624,942.177,-203.451,-1.90928,0
195,3,0.0241089,0.00152588,-0.212097,4.61251,0.238573,-183.787,168.436,-747.884,993.003,-204.069,-0.916474,0
195,4,0.0280762,0.00213623,-0.1651,4.72285,0.172962,-184.653,121.512,-627.257,941.577,-203.397,-0.658055,0
196,0,0.0289917,0.00183105,-0.100098,4.57261,0.169301,-185.178,99.1797,-797.483,932.958,-204.307,-0.535593,0
196,1,0.0262451,0.00152588,-0.0247192,4.8273,0.331248,-183.787,-71.4537,-632.27,862.471,-203.44,0.388785,0
196,2,0.0274658,0.00152588,0.0164795,4.838,0.104045,-186.126,-37.3537,-647.799,946.295,-203.48,0.20069,0
196,3,0.0283813,0.0012207,0.0973511,5.31463,0.59481,-185.089,-327.628,-712.217,886.33,-203.848,1.77011,0
196,4,0.0323486,0.000915527,0.151062,4.65217,0.375405,-183.353,-337.388,-696.283,913.283,-203.798,1.8401,0
197,0,0.0268555,0.0012207,0.193481,4.82492,0.445154,-183.525,-367.626,-481.51,875.528,-202.624,2.00314,0
197,1,0.0231934,0.00244141,0.222473,4.72189,0.175067,-184.303,-412.773,-671.651,926.92,-203.644,2.23964,0
197,2,0.0326538,0.00152588,0.214844,4.83027,-0.000398471,-184.56,-308.092,-578.625,852.308,-203.135,1.66933,0
197,3,0.0317383,0.00244141,0.190125,4.76822,0.0182085,-184.909,-174.241,-690.901,917.973,-203.736,0.942306,0
197,4,0.0189209,0.0012207,0.101013,4.98366,0.351866,-184.567,29.4497,-611.192,885.984,-203.311,-0.159561,0
198,0,0.0183105,0.000610352,-0.000305176,4.89504,0.307761,-183.872,71.8924,-661.773,918.468,-203.599,-0.390991,0
198,1,0.0131226,0.000915527,-0.110474,5.04862,-0.0444815,-183.864,-20.3766,-642.151,880.607,-203.493,0.110824,0
198,2,0.017395,0.0012207,-0.175476,4.32117,0.153802,-183.007,243.419,-577.37,899.367,-203.155,-1.33011,0
198,3,0.0204468,0.0012207,-0.219116,4.83291,0.371987,-185.611,119.037,-523.754,895.35,-202.822,-0.641325,0
198,4,0.0234985,0.000610352,-0.23407,4.69355,0.310279,-183.613,417.052,-388.064,899.393,-202.113,-2.27136,0
199,0,0.0268555,0.0012207,-0.201721,4.58847,-0.179782,-183.608,85.323,-765.393,862.317,-204.169,-0.464702,0
199,1,0.0244141,0,-0.14679,4.67823,0.0626865,-183.955,350.222,-609.062,1001.85,-203.311,-1.90384,0
199,2,0.0216675,0.0012207,-0.0521851,4.26295,0.0173605,-185.436,181.647,-465.5,903.866,-202.51,-0.97957,0
199,3,0.0320435,0.000305176,-0.010376,4.39496,-0.29174,-184.472,123.984,-605.861,954.627,-203.284,-0.672102,0
199,4,0.0350952,0.000915527,0.0518799,4.83024,0.0438832,-184.125,-39.9344,-499.696,954.495,-202.714,0.216888,0
