Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
245,0,0.00671387,0.00152588,0.175781,3.85258,2.10883,-156.789,-70.7546,-3397.18,-365.769,-221.667,0.451272,0
245,1,0.022583,0.000610352,0.118713,4.08513,2.20189,-153.663,-32.8556,-3605.96,-365.533,-223.467,0.213816,0
245,2,0.0119019,0.0012207,0.0177002,3.9755,1.95964,-154.093,1.56456,-3450.59,-394.156,-222.393,-0.0101533,0
245,3,0.0271606,0.000915527,-0.062561,3.8675,2.24431,-154.448,124.503,-3516.08,-360.746,-222.765,-0.806114,0
245,4,0.0201416,0.0012207,-0.14801,3.93097,2.26769,-154.798,226.637,-3429.5,-467.497,-222.155,-1.46408,0
246,0,0.0192261,0.00183105,-0.205078,4.15411,2.48608,-154.886,268.341,-3571.39,-345.903,-223.058,-1.73251,0
246,1,0.0244141,0.00152588,-0.236511,3.99165,2.33657,-152.975,385.417,-3487.7,-439.518,-222.799,-2.51948,0
246,2,0.0210571,0.00183105,-0.237122,4.04658,2.48421,-155.495,379.361,-3548.45,-331.767,-222.82,-2.4397,0
246,3,0.0238037,0.000915527,-0.200806,4.26529,2.19888,-155.313,256.499,-3531.64,-364.954,-222.739,-1.65149,0
246,4,0.0299072,0.00152588,-0.142517,4.22271,2.46266,-156.536,190.069,-3500.97,-434.081,-222.365,-1.21422,0
247,0,0.0268555,0.00152588,-0.045166,4.24433,2.50727,-156.275,213.887,-3484.49,-396.969,-222.297,-1.36866,0
247,1,0.0222778,0.000305176,0.0338745,4.11038,2.33212,-155.578,217.71,-3444.73,-406.831,-222.142,-1.39936,0
247,2,0.0317383,0.00183105,0.119934,3.89154,2.81616,-155.155,92.5377,-3612.54,-331.562,-223.283,-0.596422,0
247,3,0.0271606,0.000915527,0.179443,3.95501,2.53079,-154.02,2.97574,-3696.96,-346.02,-224.003,-0.0193205,0
247,4,0.0283813,0.00152588,0.226746,4.1976,2.86368,-155.236,-228.342,-3500.85,-332.314,-222.552,1.47094,0
248,0,0.0271606,0.000305176,0.236511,4.26182,2.46815,-154.619,-378.097,-3504.96,-370.399,-222.668,2.44534,0
