Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
233,0,0.0186157,0.00305176,0.120239,5.06801,1.93857,-152.181,-63.0372,-4101.08,-568.654,-226.949,0.414224,0
233,1,0.0161743,0.00305176,0.0201416,4.52155,1.86868,-152.535,111.867,-4140.08,-568.34,-227.142,-0.733385,0
233,2,0.00793457,0.0012207,-0.0582886,4.89308,2.24613,-152.015,205.012,-4093.74,-475.047,-226.93,-1.34863,0
233,3,0.0146484,0.000915527,-0.143127,4.48204,1.84282,-153.317,299.697,-4208.48,-525.914,-227.449,-1.95475,0
233,4,0.0115967,0.000610352,-0.19928,5.53436,1.71344,-153.914,340.408,-4180.76,-627.978,-227.163,-2.21167,0
234,0,0.0137329,0.0012207,-0.228882,4.79219,1.59913,-154.788,279.171,-4148.83,-609.682,-226.803,-1.80358,0
234,1,0.0186157,0,-0.227966,4.3971,1.68547,-154.447,605.087,-4150.65,-562.767,-226.874,-3.91777,0
234,2,0.0146484,0.00152588,-0.190735,4.88425,1.63974,-156.006,292.377,-4266.08,-641.377,-227.346,-1.87414,0
234,3,0.0253296,0.000610352,-0.131226,4.7593,1.43685,-157.479,294.386,-4259.3,-594.981,-227.047,-1.86937,0
234,4,0.0189209,0.000915527,-0.0393677,4.81177,1.42396,-154.177,116.696,-4221.5,-679.69,-227.381,-0.756893,0
235,0,0.0152588,0.0012207,0.0366211,4.34027,1.26118,-156.349,41.7962,-4314.45,-586.474,-227.595,-0.267326,0
235,1,0.0195312,0.000610352,0.122375,3.8257,2.69963,-153.863,134.46,-4382.53,-491.695,-228.483,-0.873891,0
235,2,0.0354004,0.00152588,0.187073,3.98524,2.67484,-156.381,-122.041,-4341.18,-579.833,-227.76,0.78041,0
235,3,0.0228882,0.0012207,0.229797,3.75862,2.59085,-154.209,-147.786,-4317.12,-585.257,-227.995,0.95835,0
235,4,0.0247192,0.0012207,0.237427,4.39752,2.30674,-154.103,-361.287,-4176.16,-428.696,-227.1,2.34445,0
236,0,0.0256348,0.00244141,0.210266,4.22231,2.28139,-154.11,-172.124,-4399.28,-515.849,-228.546,1.11689,0
236,1,0.0170898,0.00152588,0.159302,4.09757,3.04131,-152.217,-239.042,-4191.15,-692.29,-227.534,1.5704,0
236,2,0.0262451,0.00152588,0.083313,3.57638,2.8371,-153.523,-69.7911,-4212.42,-696.672,-227.438,0.454596,0
236,3,0.0170898,0.0012207,-0.0088501,3.8054,2.61176,-156.294,31.528,-4076.93,-650.27,-226.085,-0.201722,0
236,4,0.012207,0.00152588,-0.0912476,4.35192,1.90774,-154.451,169.351,-4192.32,-609.347,-227.143,-1.09647,0
237,0,0.0149536,0.0012207,-0.167847,4.19124,2.24246,-152.81,105.846,-4231.45,-650.95,-227.691,-0.692664,0
237,1,0.00366211,0.0012207,-0.21698,4.72205,2.59258,-154.03,387.923,-4340.08,-626.052,-228.177,-2.5185,0
237,2,0.0167847,0.0012207,-0.232239,4.16987,1.93374,-151.932,192.118,-4205.98,-535.584,-227.683,-1.2645,0
237,3,0.015564,0.000610352,-0.217896,4.37339,1.95217,-153.494,281.717,-4230.11,-502.466,-227.559,-1.83536,0
237,4,0.0125122,0.00152588,-0.171814,4.81124,2.08781,-153.228,175.601,-4124.45,-433.195,-226.917,-1.14602,0
238,0,0.020752,0.000915527,-0.116577,5.15675,2.50976,-152.02,172.217,-4316.83,-510.997,-228.396,-1.13286,0
238,1,0.0222778,0.00183105,-0.015564,4.6533,2.53053,-152.372,94.4803,-4242.14,-488.12,-227.841,-0.620064,0
238,2,0.0247192,0.00152588,0.0588989,4.80665,2.0667,-151.93,-46.316,-4427.02,-576.655,-229.139,0.304851,0
238,3,0.0317383,0.0012207,0.143738,4.97854,2.11526,-151.405,-122.388,-4230.98,-563.565,-227.945,0.808352,0
238,4,0.0268555,0.00152588,0.200806,4.80248,1.82821,-151.663,-178.251,-4205.93,-656.949,-227.732,1.17531,0
239,0,0.0308228,0,0.229492,4.76377,1.82598,-152.79,-223.941,-4123.13,-564.25,-226.986,1.46568,0
239,1,0.0222778,0.00152588,0.231934,4.71558,2.07049,-151.406,-291.333,-4264.28,-577.725,-228.164,1.92418,0
239,2,0.0238037,0.000305176,0.196838,4.81141,1.51371,-153.654,-169.657,-4230.81,-615.11,-227.535,1.10415,0
239,3,0.0265503,0.00244141,0.137329,4.71645,1.87333,-152.006,-122.336,-3936.18,-513.821,-225.895,0.804812,0
239,4,0.015564,0.00152588,0.0442505,4.3965,1.68884,-153.571,-108.318,-4151.51,-471.241,-227.033,0.705324,0
240,0,0.0268555,0.00152588,-0.0344849,4.27732,1.84932,-151.491,-145.613,-4078.1,-527.487,-226.92,0.961198,0
240,1,0.015564,0.00152588,-0.120239,4.34622,1.82302,-153.147,99.7304,-4193.88,-679.487,-227.385,-0.651205,0
240,2,0.0170898,0.0012207,-0.184021,4.67702,1.64571,-153.838,126.481,-4233.57,-739.707,-227.52,-0.822176,0
240,3,0.0183105,0.000610352,-0.225525,4.21342,1.93284,-152.979,360.428,-4179.66,-683.664,-227.322,-2.35607,0
240,4,0.0119019,0.000610352,-0.237732,4.56171,2.02346,-152.282,453.611,-4186.16,-683.48,-227.489,-2.97875,0
241,0,0.0183105,0.000915527,-0.206604,4.27361,1.71572,-150.28,239.942,-4336.91,-637.847,-228.859,-1.59663,0
241,1,0.0149536,0,-0.154419,4.51522,2.70916,-151.339,336.869,-4264.04,-599.021,-228.175,-2.22592,0
241,2,0.0238037,0.00152588,-0.0778198,4.4479,2.68912,-151.251,146.705,-4163.78,-613.643,-227.529,-0.969946,0
241,3,0.0231934,0.000305176,0.012207,4.61862,2.89152,-149.774,277.257,-4101.82,-548.706,-227.387,-1.85117,0
241,4,0.0305176,0.0012207,0.0912476,4.73231,2.22861,-150.888,104.975,-3999.78,-587.204,-226.508,-0.695718,0
242,0,0.0311279,0.0012207,0.166931,4.92722,2.91395,-150.032,-122.215,-4229.22,-571.938,-228.189,0.814596,0
242,1,0.0299072,0.00152588,0.219116,4.46803,2.73592,-151.336,-185.085,-4075.53,-660.766,-226.93,1.223,0
242,2,0.0274658,0.0012207,0.232849,4.59715,2.626,-150.903,-188.315,-4223.32,-781.156,-227.987,1.24792,0
242,3,0.0192261,0.00152588,0.219727,4.53551,2.51344,-151.855,-82.4582,-4131.2,-716.315,-227.205,0.543006,0
242,4,0.022583,0.0012207,0.174255,4.46663,2.71427,-151.599,-107.315,-4039.63,-744.272,-226.647,0.707885,0
243,0,0.0268555,0.00183105,0.119934,5.03975,2.09527,-151.583,-10.0803,-4171.08,-758.48,-227.517,0.0665003,0
