Devices
1000
,,FSR - Force,FSR - Electric Potential,FSR - Electric Potential,ForcePlate - Force,,,ForcePlate - Moment,,,ForcePlate - CoP,,,
Frame,Sub Frame,Loadcell Hogu,Film sensor,Loadcell Bat,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,V,V,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
130,0,0.0183105,0.00183105,0.202026,7.36202,0.204365,-149.597,-205.708,7358.18,1230.11,-150.813,1.37508,0
130,1,0.020752,0.00244141,0.196228,7.29039,0.451696,-148.385,-351.313,7457.54,1229.63,-149.742,2.36758,0
130,2,0.0164795,0.00183105,0.151672,7.27606,0.358054,-150.469,-255.199,7434.16,1234.84,-150.593,1.69603,0
130,3,0.0262451,0.000915527,0.055542,7.31244,0.627542,-149.259,-187.498,7511.31,1160.57,-149.676,1.25619,0
130,4,0.0100708,0.000305176,-0.0463867,7.66269,0.648087,-148.479,170.439,7256.23,1143.34,-151.13,-1.14789,0
131,0,0.0115967,0.0012207,-0.127258,7.90794,0.736638,-149.777,117.464,7478.24,1235.75,-150.071,-0.784259,0
131,1,0.0115967,0.00183105,-0.181885,7.6651,0.558705,-148.997,288.62,7336.27,1194.26,-150.762,-1.93708,0
131,2,0.0192261,0.000305176,-0.199585,7.20346,0.602634,-148.828,267.745,7399.68,1203.26,-150.28,-1.79902,0
131,3,0.0164795,0.00183105,-0.192261,7.79959,0.469455,-149.427,251.055,7339.9,1245.21,-150.88,-1.68012,0
131,4,0.0198364,0.0012207,-0.154419,7.79851,0.601945,-148.735,156.464,7197.51,1254.89,-151.609,-1.05196,0
132,0,0.0167847,0.000915527,-0.102844,7.88988,0.334604,-149.861,90.2647,7132.85,1185.27,-152.403,-0.602325,0
132,1,0.0137329,-0.000915527,-0.039978,7.31661,0.535809,-149.605,-13.7721,7413.75,1235.36,-150.445,0.0920563,0
132,2,0.012207,0.000915527,-0.00640869,7.92867,0.363525,-148.985,-287.692,7431.56,1220.62,-150.119,1.93101,0
132,3,0.0216675,0.00213623,0.0561523,8.06809,0.269388,-150.374,-347.287,7188.22,1240.13,-152.198,2.30949,0
132,4,0.022583,-0.000305176,0.115662,7.49112,0.625337,-149.083,-232.56,7317.44,1240.04,-150.917,1.55993,0
133,0,0.0210571,0.000610352,0.166016,7.15954,0.537855,-149,-424.738,7322.4,1128.17,-150.856,2.85059,0
133,1,0.0198364,0.00274658,0.197754,7.6537,0.788703,-147.351,-446.161,7424.26,1007.2,-149.615,3.02788,0
133,2,0.0167847,0.00335693,0.205383,7.57161,0.739161,-147.612,-226.374,7214.98,1114.97,-151.122,1.53357,0
133,3,0.0137329,0.00183105,0.19043,7.18185,0.403712,-148.13,-107.778,7186.82,1193.69,-151.483,0.727588,0
133,4,0.0204468,0.00183105,0.120544,7.199,0.339913,-147.611,-64.6596,7203.16,1063.55,-151.202,0.438042,0
134,0,0.0167847,0.00152588,0.020752,7.2488,0.337494,-148.213,-122.063,7219.41,1235.24,-151.29,0.823562,0
134,1,0.015564,0.000305176,-0.072937,7.18101,0.513838,-148.395,142.072,7240.48,1161.63,-151.208,-0.957395,0
134,2,0.0180054,0.00152588,-0.140686,7.12017,0.444152,-150.393,128.433,7272.32,1092.24,-151.645,-0.85398,0
134,3,0.00640869,0.00152588,-0.191956,7.20591,0.535249,-149.869,287.216,7480.64,1184.59,-150.086,-1.91644,0
134,4,0.0213623,0.000915527,-0.204773,7.27454,0.884951,-150.574,380.051,7293.27,1176.82,-151.563,-2.52402,0
135,0,0.0198364,-0.000305176,-0.186157,7.29138,0.866565,-149.27,268.273,7308.58,1148.42,-151.038,-1.79724,0
135,1,0.0189209,0.00152588,-0.142517,7.36061,0.224274,-148.909,174.503,7135.64,1180.3,-152.081,-1.17188,0
135,2,0.0247192,0.00183105,-0.0622559,7.24963,0.490736,-148.826,151.58,7273.51,1231.2,-151.127,-1.01851,0
135,3,0.0253296,0.000305176,-0.0302124,7.33574,0.314456,-148.39,167.348,7171.62,1156.98,-151.67,-1.12776,0
135,4,0.0198364,0.000305176,0.0198364,7.45094,0.247185,-150.382,-158.694,7320.26,1160.97,-151.322,1.05527,0
136,0,0.0247192,0.000610352,0.0759888,7.2706,0.229018,-148.555,-238.235,7404.92,1243.6,-150.154,1.60368,0
136,1,0.0167847,0.000915527,0.133972,7.04856,0.207563,-148.821,-326.991,7414.78,1090.31,-150.177,2.19721,0
136,2,0.0189209,0.000915527,0.173035,7.00579,0.38373,-149.171,-353.463,7452.78,1127.6,-150.039,2.36951,0
136,3,0.0167847,0.000915527,0.198059,6.8992,0.490761,-149.349,-193.691,7333.4,1198.07,-150.897,1.29691,0
136,4,0.0198364,0.00183105,0.192566,7.18312,-0.103295,-148.379,-362.685,7248.39,1164.51,-151.149,2.44432,0
137,0,0.0146484,0.00213623,0.184326,7.2052,0.27191,-149.081,-180.213,7373.06,1179.02,-150.543,1.20883,0
